name,number,status
PEP Purpose and Guidelines,1,Active
Adding a Built-In Set Object Type,218,Final
Change the Meaning of,223,Final
Import As,221,Final
Display Hook for Interactive Use,217,Final
Attribute Docstrings,224,Rejected
"Coroutines, Generators, Continuations",220,Rejected
Stackless Python,219,Deferred
Elementwise/Objectwise Operators,225,Rejected
Extended Print Statement,214,Final
Web Library Enhancements,222,Deferred
Attribute Access Handlers,213,Deferred
Docstring Format,216,Rejected
String Interpolation,215,Superseded
Adding A New Outer Product Operator,211,Rejected
Loop Counter Iteration,212,Rejected
2021 Term Steering Council election,8102,Final
2024 Term Steering Council election,8105,Active
2023 Term Steering Council election,8104,Active
2022 Term Steering Council election,8103,Final
2020 Term Steering Council election,8101,Final
January 2019 Steering Council election,8100,Final
The Commons Governance Model,8014,Rejected
Python Governance Model Lead by Trio of Pythonistas,8011,Rejected
Organization of the Python community,8015,Rejected
The Steering Council Model,8016,Accepted
The Community Governance Model,8012,Rejected
The External Council Governance Model,8013,Rejected
Python Language Governance Proposal Overview,8000,Final
The Technical Leader Governance Model,8010,Rejected
Open Source Governance Survey,8002,Final
Python Governance Voting Process,8001,Final
Qualified name for classes and functions,3155,Final
Pickle protocol version 4,3154,Final
Cofunctions,3152,Rejected
Asynchronous IO support,3153,Superseded
Asynchronous IO Support Rebooted: the “asyncio” Module,3156,Final
Python Web Server Gateway Interface v1.0.1,3333,Final
Statement local namespaces (aka “given” clause),3150,Deferred
Reworking the OS and IO exception hierarchy,3151,Final
Asynchronous I/O For subprocess.Popen,3145,Withdrawn
IP Address Manipulation Library for the Python Standard Library,3144,Final
PYC Repository Directories,3147,Final
ABI version tagged .so files,3149,Final
futures - execute computations asynchronously,3148,Final
Merging Unladen Swallow into CPython,3146,Withdrawn
Standard daemon process library,3143,Deferred
Add a “while” clause to generator expressions,3142,Rejected
Immutable Bytes and Mutable Buffer,3137,Final
String representation in Python 3000,3138,Final
A Type Hierarchy for Numbers,3141,Final
Cleaning out sys and the “interpreter” module,3139,Rejected
"str(container) should call str(item), not repr(item)",3140,Rejected
Exception Chaining and Embedded Tracebacks,3134,Final
Labeled break and continue,3136,Rejected
Class Decorators,3129,Final
New Super,3135,Final
